ts,y_true,y_pred,pi_lo,pi_hi
2025-08-24 18:15:00+00:00,117.21,118.86784600786494,92.19850864928004,156.57180072006446
2025-08-24 18:30:00+00:00,117.21,118.84184410562119,92.1725067470363,156.54579881782072
2025-08-24 18:45:00+00:00,117.21,118.84934650621736,92.18000914763246,156.5533012184169
2025-08-24 19:00:00+00:00,114.32,114.14579695830467,87.47645959971977,151.8497516705042
2025-08-24 19:15:00+00:00,114.32,114.10897330034524,87.43963594176034,151.81292801254477
2025-08-24 19:30:00+00:00,114.32,114.05147465384842,87.38213729526352,151.75542936604793
2025-08-24 19:45:00+00:00,114.32,114.05147465384842,87.38213729526352,151.75542936604793
2025-08-24 20:00:00+00:00,107.5,108.5859361095588,81.9165987509739,146.28989082175832
2025-08-24 20:15:00+00:00,107.5,108.52689745846058,81.85756009987568,146.2308521706601
2025-08-24 20:30:00+00:00,107.5,108.5164056567802,81.8470682981953,146.22036036897973
2025-08-24 20:45:00+00:00,107.5,108.50756711434308,81.83822975575818,146.2115218265426
2025-08-24 21:00:00+00:00,100.52,101.22656590291986,74.55722854433496,138.93052061511938
2025-08-24 21:15:00+00:00,100.52,100.89720268494635,74.22786532636145,138.60115739714587
2025-08-24 21:30:00+00:00,100.52,100.89183930039957,74.22250194181467,138.5957940125991
2025-08-24 21:45:00+00:00,100.52,100.89183930039957,74.22250194181467,138.5957940125991
2025-08-24 22:00:00+00:00,95.28,95.79137854183824,69.12204118325334,133.49533325403777
2025-08-24 22:15:00+00:00,95.28,95.48665373048526,68.81731637190036,133.19060844268478
2025-08-24 22:30:00+00:00,95.28,95.4825487584201,68.8132113998352,133.1865034706196
2025-08-24 22:45:00+00:00,95.28,95.4825487584201,68.8132113998352,133.1865034706196
2025-08-24 23:00:00+00:00,87.03,86.83370373067544,60.16436637209054,124.53765844287497
2025-08-24 23:15:00+00:00,87.03,86.74363352969591,60.074296171111015,124.44758824189543
2025-08-24 23:30:00+00:00,87.03,86.74363352969591,60.074296171111015,124.44758824189543
2025-08-24 23:45:00+00:00,87.03,86.74363352969591,60.074296171111015,124.44758824189543
2025-08-25 00:00:00+00:00,83.48,84.80006726787919,58.13072990929429,122.5040219800787
2025-08-25 00:15:00+00:00,83.48,84.80006726787919,58.14146264373622,122.5040219800787
2025-08-25 00:30:00+00:00,83.48,84.80006726787919,58.14590388395976,122.5040219800787
2025-08-25 00:45:00+00:00,83.48,84.80006726787919,58.14783147027872,122.5040219800787
2025-08-25 01:00:00+00:00,81.78,83.25036427879643,56.602264438869526,120.95431899099594
2025-08-25 01:15:00+00:00,81.78,83.25036427879643,56.6073162543629,120.95431899099594
2025-08-25 01:30:00+00:00,81.78,83.25036427879643,56.61309604014863,120.95431899099594
2025-08-25 01:45:00+00:00,81.78,83.25036427879643,56.61363146524552,120.95431899099594
2025-08-25 02:00:00+00:00,82.6,84.75484541559219,58.12453786713506,122.4588001277917
2025-08-25 02:15:00+00:00,82.6,84.75484541559219,58.13007443035002,122.4588001277917
2025-08-25 02:30:00+00:00,82.6,84.76449227563917,58.14353938814192,122.46844698783869
2025-08-25 02:45:00+00:00,82.6,84.76401283782624,58.163999721109974,122.46796755002578
2025-08-25 03:00:00+00:00,101.79,102.77910153473562,76.18609725343657,140.48305624693515
